,Removed_Node,New_Global_Efficiency,Efficiency_Decrease_Percent
15,Great Kills,0.20405895691609982,35.18367484679649
11,Eltingville,0.21833333333333343,30.64962921017667
3,Annadale,0.22750566893424035,27.7361717677419
7,Huguenot,0.23596938775510204,25.047796018943902
10,Prince's Bay,0.24468442932728654,22.279591296136022
8,St George,0.24740377687082699,21.415830561246292
6,Pleasant Plains,0.2542460317460319,19.242488976663378
5,New Dorp,0.2577082262586466,18.142773832252747
18,Richmond Valley,0.2652382670239814,15.75096717971021
12,Tompkinsville,0.2676986062490265,14.969476626157723
19,Grant City,0.27159567284567293,13.731630762936062
17,Stapleton,0.27549778924778934,12.492180903309386
2,Jefferson Av,0.277991466205752,11.700101109425042
1,Arthur Kill,0.2785624957053529,11.518721990970457
20,Clifton,0.28008897187468623,11.033859296260099
0,Bay Terrace,0.28083572512143945,10.796664115111213
9,Oakwood Heights,0.28140055711484285,10.617253543310536
16,Dongan Hills,0.28149137899137905,10.588405310576432
14,Grasmere,0.28243242207527935,10.289496821426729
13,Old Town,0.2828859368145084,10.145444537499165
4,Tottenville,0.29666534523677385,5.768618201551734
